"","Overall"
"term.0",2.55486816055546
"term.1",2.33758887235831
"grade.1",0.228222186066256
"grade.2",0.53428533111775
"grade.3",1.27480995089216
"grade.4",1.48800165691657
"grade.5",3.15707873499819
"grade.6",1.8338396745212
"grade.7",1.5341449484712
"emp_length.1",3.09328916342897
"emp_length.2",2.49984766214736
"emp_length.3",2.38254382614306
"emp_length.4",2.03986679120425
"emp_length.5",2.12917577685884
"emp_length.6",1.88964175560044
"emp_length.7",1.9355755295781
"emp_length.8",1.84344070569619
"emp_length.9",1.62851584408843
"emp_length.10",4.06574165988978
"home_ownership.0",2.53269286998784
"home_ownership.1",2.53343581381522
"purpose.0",2.02856355366148
"purpose.1",2.01799489882625
"loan_amnt_band.(0,1e+03]",0.372346628746156
"loan_amnt_band.(1e+03,5e+03]",8.45404687871723
"loan_amnt_band.(5e+03,1.5e+04]",5.52276397837662
"loan_amnt_band.(1.5e+04,2e+04]",3.75592507582466
"loan_amnt_band.(2e+04,2.5e+04]",1.8757316650118
"loan_amnt_band.(2.5e+04,3e+04]",1.19039707969121
"loan_amnt_band.(3e+04,3.5e+04]",1.45480124831858
"int_rate_band.(5,10]",7.20275532671209
"int_rate_band.(10,15]",3.84395949589561
"int_rate_band.(15,20]",2.36118311722557
"int_rate_band.(20,25]",1.95619962661562
"int_rate_band.(25,30]",0.314458487727072
"installment_band.(0,100]",2.0058497283972
"installment_band.(100,200]",3.57036185111349
"installment_band.(200,300]",2.40303440359322
"installment_band.(300,500]",7.51476556123372
"installment_band.(500,700]",4.50493292748017
"installment_band.(700,1e+03]",3.10438989850083
"installment_band.(1e+03,1.2e+03]",0.558416813048215
"installment_band.(1.2e+03,1.5e+03]",0.38186710851238
"annual_inc_band.(0,2e+03]",0.000305951638705479
"annual_inc_band.(2e+03,5e+03]",0.00270673993855633
"annual_inc_band.(5e+03,1e+04]",0.0662977752374105
"annual_inc_band.(1e+04,2.5e+04]",1.01527063919431
"annual_inc_band.(2.5e+04,5e+04]",2.94749458982676
"annual_inc_band.(5e+04,8e+04]",3.26567264501728
"annual_inc_band.(8e+04,1e+05]",2.29158997849297
"annual_inc_band.(1e+05,2e+05]",2.04328272795036
"annual_inc_band.(2e+05,4e+05]",0.441726277753335
"annual_inc_band.(4e+05,8e+05]",0.0446981984498794
"annual_inc_band.(8e+05,1e+06]",0.00135704422588218
"annual_inc_band.(1e+06,1e+07]",0.0112342156184706
"dti_band.(-1,0]",0.0155030036174931
"dti_band.(0,10]",2.19294982866503
"dti_band.(10,20]",3.32260261334656
"dti_band.(20,30]",3.33263102368926
"dti_band.(30,40]",2.27778672284716
"dti_band.(40,50]",0.00178075552396023
"dti_band.(50,60]",0.00172700938172554
"dti_band.(60,673]",0.000321237178548982
"delinq_2yrs_band.(-1,0]",1.57995951852637
"delinq_2yrs_band.(0,5]",1.61282372222616
"delinq_2yrs_band.(5,10]",0.211663066923401
"delinq_2yrs_band.(10,15]",0.0180714655228364
"delinq_2yrs_band.(15,20]",0.00486776914983458
"delinq_2yrs_band.(20,25]",0.00319882702668651
"delinq_2yrs_band.(25,30]",1.15820138577847e-05
"inq_last_6mths_band.(-1,0]",2.90183876034755
"inq_last_6mths_band.(0,5]",2.79263553707863
"inq_last_6mths_band.(5,10]",0.167135971281034
"inq_last_6mths_band.(10,15]",0.000599881481603185
"inq_last_6mths_band.(15,20]",5.73702551755354e-05
"inq_last_6mths_band.(20,25]",0
"inq_last_6mths_band.(25,30]",0
"inq_last_6mths_band.(30,35]",0.00774945978804179
"mths_since_last_delinq_band.(-1,0]",0.0952992819395544
"mths_since_last_delinq_band.(0,10]",1.68662396437088
"mths_since_last_delinq_band.(10,20]",1.75474646235495
"mths_since_last_delinq_band.(20,30]",2.05752293159521
"mths_since_last_delinq_band.(30,50]",2.94020205871702
"mths_since_last_delinq_band.(50,70]",2.11012630441865
"mths_since_last_delinq_band.(70,100]",1.38228535656343
"mths_since_last_delinq_band.(100,130]",0.0116744718045729
"mths_since_last_delinq_band.(130,150]",0.00193220758012741
"mths_since_last_delinq_band.(150,170]",2.04905425475357e-05
"open_acc_band.(-1,0]",0.00177286412280721
"open_acc_band.(0,10]",2.78123342472112
"open_acc_band.(10,20]",2.97807225862719
"open_acc_band.(20,30]",1.37904493479926
"open_acc_band.(30,40]",0.278918587719419
"open_acc_band.(40,50]",0.0252618492507002
"open_acc_band.(50,60]",0.00265456209445412
"open_acc_band.(60,70]",0
"open_acc_band.(70,80]",0.000497393294647753
"revol_bal_band.(-1,0]",0.113699904998036
"revol_bal_band.(0,2e+03]",1.01090118230384
"revol_bal_band.(2e+03,5e+03]",1.86997918873834
"revol_bal_band.(5e+03,1e+04]",2.71147922910858
"revol_bal_band.(1e+04,2.5e+04]",3.10319329127381
"revol_bal_band.(2.5e+04,5e+04]",1.9907598141935
"revol_bal_band.(5e+04,8e+04]",0.56372666303798
"revol_bal_band.(8e+04,1e+05]",0.183449344401835
"revol_bal_band.(1e+05,2e+05]",0.171877314490015
"revol_bal_band.(2e+05,4e+05]",0.0860177371565712
"revol_bal_band.(4e+05,8e+05]",0.00498307253774164
"revol_bal_band.(8e+05,1e+06]",0
"revol_bal_band.(1e+06,3e+06]",0.000158833733790682
"revol_util_band.(-1,0]",0.116922952811466
"revol_util_band.(0,10]",0.678727152359359
"revol_util_band.(10,20]",1.11641440058985
"revol_util_band.(20,30]",1.83463829703419
"revol_util_band.(30,40]",2.49290066134288
"revol_util_band.(40,50]",2.91355600146266
"revol_util_band.(50,60]",3.15934929603886
"revol_util_band.(60,70]",3.24073342323456
"revol_util_band.(70,80]",3.00406962230801
"revol_util_band.(80,100]",3.1983126426587
"revol_util_band.(100,300]",0.353530882021344
"revol_util_band.(300,500]",0
"revol_util_band.(500,700]",0
"revol_util_band.(700,1e+03]",0.000149520710366972
"total_acc_band.(0,10]",1.74213005747516
"total_acc_band.(10,20]",3.47432346622276
"total_acc_band.(20,30]",3.58434027572703
"total_acc_band.(30,40]",2.85879373427434
"total_acc_band.(40,50]",1.83834566624137
"total_acc_band.(50,60]",0.898204030012035
"total_acc_band.(60,70]",0.341442337667278
"total_acc_band.(70,80]",0.0908115773909906
"total_acc_band.(80,100]",0.0355061128417998
"total_acc_band.(100,150]",0.00224738423039764
"total_pymnt_band.(-1,0]",0.697708663686381
"total_pymnt_band.(0,1e+03]",4.10656163029171
"total_pymnt_band.(1e+03,5e+03]",15.1439944620177
"total_pymnt_band.(5e+03,1e+04]",5.07269758297143
"total_pymnt_band.(1e+04,2e+04]",4.35365377853015
"total_pymnt_band.(2e+04,3e+04]",2.55136685211244
"total_pymnt_band.(3e+04,4e+04]",1.01161680522607
"total_pymnt_band.(4e+04,5e+04]",0.445363081924541
"total_pymnt_band.(5e+04,6e+04]",0.0586264440983798
"recoveries_band.(-1,0]",100
"recoveries_band.(0,1e+03]",20.241356769789
"recoveries_band.(1e+03,2e+03]",4.87933442843862
"recoveries_band.(2e+03,5e+03]",6.7225816625829
"recoveries_band.(5e+03,1e+04]",0.118422181571448
"recoveries_band.(1e+04,1.5e+04]",0.0036610543735028
"recoveries_band.(1.5e+04,2e+04]",0.000750679371263708
"recoveries_band.(2e+04,4e+04]",0.000597889893786642
"collections_12_mths_ex_med_band.(-1,0]",0.441840813471664
"collections_12_mths_ex_med_band.(0,1]",0.419587528261972
"collections_12_mths_ex_med_band.(1,2]",0.0366210335332375
"collections_12_mths_ex_med_band.(2,3]",0.00408564284901039
"collections_12_mths_ex_med_band.(3,4]",0.000100457996102703
"collections_12_mths_ex_med_band.(4,20]",0.000241222644337274
"acc_now_delinq_band.(-1,0]",0.144661338016465
"acc_now_delinq_band.(0,1]",0.140337234899609
"acc_now_delinq_band.(1,2]",0.00835958054603551
"acc_now_delinq_band.(2,3]",0
"acc_now_delinq_band.(3,4]",0
"acc_now_delinq_band.(4,5]",0.000169996088065147
"tot_coll_amt_band.(-1,0]",2.1601168306616
"tot_coll_amt_band.(0,1e+03]",2.47432356338794
"tot_coll_amt_band.(1e+03,5e+03]",0.789837852728621
"tot_coll_amt_band.(5e+03,1e+04]",0.251455512901061
"tot_coll_amt_band.(1e+04,2e+04]",0.120066914629015
"tot_coll_amt_band.(2e+04,5e+04]",0.0573738622507336
"tot_coll_amt_band.(5e+04,1e+05]",0.00819407144548871
"tot_coll_amt_band.(1e+05,5e+05]",0.000182644959209052
"tot_coll_amt_band.(5e+05,1e+07]",1.29718555207189e-05
"tot_cur_bal_band.(-1,0]",0.00660260072323274
"tot_cur_bal_band.(0,5e+03]",0.543842697187962
"tot_cur_bal_band.(5e+03,1e+04]",1.12439687138521
"tot_cur_bal_band.(1e+04,2e+04]",2.07723375718307
"tot_cur_bal_band.(2e+04,5e+04]",2.98705725066825
"tot_cur_bal_band.(5e+04,1e+05]",3.40783972843287
"tot_cur_bal_band.(1e+05,5e+05]",2.81383231876542
"tot_cur_bal_band.(5e+05,1e+07]",0.536041337941863
"total_rev_hi_lim_band.(-1,0]",0.0233349094500716
"total_rev_hi_lim_band.(0,1e+03]",0.10401486133302
"total_rev_hi_lim_band.(1e+03,5e+03]",0.994859919195535
"total_rev_hi_lim_band.(5e+03,1e+04]",1.90587530808615
"total_rev_hi_lim_band.(1e+04,2e+04]",2.93452640953593
"total_rev_hi_lim_band.(2e+04,5e+04]",3.37332767464435
"total_rev_hi_lim_band.(5e+04,1e+05]",1.55166147009277
"total_rev_hi_lim_band.(1e+05,5e+05]",0.441078076199716
"total_rev_hi_lim_band.(5e+05,1e+06]",0.00755921069875363
"total_rev_hi_lim_band.(1e+06,1e+07]",0.00561035733739052
"pmnt_diff_band.(-40,-20]",0
"pmnt_diff_band.(-20,0]",1.17338854706484
"pmnt_diff_band.(0,10]",1.14960868858993
"pmnt_diff_band.(10,20]",1.94426366199098
"pmnt_diff_band.(20,30]",2.26067174706242
"pmnt_diff_band.(30,40]",2.35717234260389
"pmnt_diff_band.(40,50]",1.3827924228189
"pmnt_diff_band.(50,61]",1.49217324917563
